"Mes","Nom mes","Any","Regió Policial (RP)","Àrea Bàsica Policial (ABP)","Aeroport","Tipus de fet","Nombre"
"10","octubre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"10","octubre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","1"
"10","octubre","2016","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt (lleu)","2"
"9","setembre","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"9","setembre","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","1"
"9","setembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","142"
"9","setembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","56"
"9","setembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","5"
"9","setembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","2"
"9","setembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"9","setembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","2"
"8","agost","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","2"
"8","agost","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"8","agost","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","3"
"8","agost","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","87"
"8","agost","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","119"
"8","agost","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","3"
"8","agost","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","2"
"7","juliol","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","2"
"7","juliol","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"7","juliol","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","74"
"7","juliol","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","112"
"7","juliol","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt interior vehicle","2"
"7","juliol","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","1"
"7","juliol","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","2"
"6","juny","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","2"
"6","juny","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","62"
"6","juny","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","75"
"5","maig","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","1"
"5","maig","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","4"
"5","maig","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","2"
"5","maig","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","70"
"5","maig","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","81"
"4","abril","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","3"
"4","abril","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","55"
"4","abril","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","62"
"1","gener","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","51"
"3","març","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","1"
"3","març","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"3","març","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","48"
"3","març","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","46"
"3","març","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","1"
"2","febrer","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","61"
"2","febrer","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","1"
"2","febrer","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","2"
"2","febrer","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","2"
"2","febrer","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"2","febrer","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","3"
"2","febrer","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","47"
"1","gener","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","1"
"1","gener","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","9"
"1","gener","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","2"
"1","gener","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"1","gener","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","47"
"12","desembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","2"
"12","desembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","2"
"12","desembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","34"
"12","desembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","62"
"11","novembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","27"
"11","novembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","68"
"11","novembre","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","1"
"11","novembre","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"11","novembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","14"
"11","novembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"11","novembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"10","octubre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","94"
"10","octubre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","50"
"10","octubre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","3"
"10","octubre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","12"
"10","octubre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","2"
"10","octubre","2015","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt","1"
"10","octubre","2015","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt (lleu)","1"
"10","octubre","2015","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Robatori o furt d'ús de vehicle","1"
"9","setembre","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"9","setembre","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","2"
"9","setembre","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Robatori amb força interior vehicle","2"
"9","setembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","92"
"9","setembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","35"
"9","setembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","2"
"9","setembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","18"
"9","setembre","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","1"
"9","setembre","2015","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt","1"
"9","setembre","2015","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt (lleu)","1"
"8","agost","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","2"
"8","agost","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","1"
"8","agost","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","150"
"8","agost","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","53"
"8","agost","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"8","agost","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","1"
"8","agost","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","30"
"8","agost","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","1"
"7","juliol","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","1"
"7","juliol","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","97"
"7","juliol","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","47"
"7","juliol","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"7","juliol","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","2"
